,source,text,type,category,label,English,text_size,subject,contains_name
351, Mihai Fifor,"„Din cei 10 candidaţi cu suspiciuni (...), doar Rovana Plumb este cea care trebuie să suporte consecinţele.”", DECLARAȚII Educatie,Fals,3,"""Out of the 10 candidates with suspicions (...), only Rovana Plumb is the one who has to bear the consequences."" ",small,Social,no
352, Viorica Dăncilă,"„A crescut salariul minim pe economie, au crescut salariile medicilor și ale profesorilor, precum și salariile din construcții.”", DECLARAȚII Munca,Adevărat,0,"""The minimum wage in the economy has increased, the salaries of doctors and teachers have increased, as well as the salaries in construction."" ",small,Social,yes
353, Vlad Voiculescu,"„În primele 6 luni, din 10 angajări, 5 au fost la stat!”", DECLARAȚII Munca,Fals,3,"""In the first 6 months, out of 10 jobs, 5 were at the state!"" ",small,Social,no
357, DănuÅ£ Bica,"„Cum să nu fie explicabilă degringolada din sistemul de învăţământ, atâta vreme cât în ultimii trei ani un mandat de ministru a durat în medie şase luni?”", DECLARAȚII Educatie,Adevărat,0,"""How can the collapse of the education system not be explained, as long as in the last three years a term of office has lasted an average of six months?"" ",small,Social,no
358, Gigel Știrbu,"„""Cimitirul Vesel"" (...) acest inedit cimitir pe care dvs. l-ați vizitat NU face parte din lista patrimoniului mondial UNESCO din România.”", DECLARAȚII Cultura,Adevărat,0,""""" The Merry Cemetery ""(...) this unique cemetery that you visited is NOT part of the list of UNESCO world heritage in Romania."" ",small,Social,yes
360, Dan Barna,"„(...)Pentru asta putem să îi mulţumim foarte mult eternului politician, sper eu acum, pe final de carieră, domnul Tăriceanu, care pe creşterea economică din 2006-2007, când România avea undeva la 450.000 de funcţionari publici, a considerat că toată acea performanţă a noastră trebuie folosită pentru a împăna administraţia publică cu funcţionari. Şi a crescut atunci, între timp s-a ajuns şi la 1,8 milioane de funcţionari (...)”", DECLARAȚII Munca,Fals,3,"""(...) For this we can thank the eternal politician very much, I hope now, at the end of his career, Mr. Tariceanu, who on the economic growth from 2006-2007, when Romania had around 450,000 civil servants, considered that all that performance of ours must be used to reconcile public administration with officials. And it grew then, in the meantime it reached 1.8 million officials (...) "" ",big,Social,yes
364, Raluca Turcan,"În momentul de față, pentru educația copiilor, din cei 329 de milioane de euro, programe pentru tineret, am aborbit doar 0,9 milioane. Din cei 5,43 de miliarde de euro alocați pentru cercetare și forță de muncă, am absorbit 0,87. Din cei 49 de miliarde de euro pentru infrastructura de transport în educație și în sănătate, am absorbit 12 miliarde.", DECLARAȚII Educatie,Parțial Adevărat,1,"At the moment, for the education of children, out of the 329 million euros, programs for youth, we have absorbed only 0.9 million. Of the 5.43 billion euros allocated for research and labor, we absorbed 0.87. Of the 49 billion euros for transport infrastructure in education and health, we absorbed 12 billion. ",big,Social,yes
365, Claudiu Nasui,"„În 6 luni, deficitul nostru comercial a mai crescut cu 3.21 miliarde euro, față de 2016.”", DECLARAȚII Educatie,Adevărat,0,"""In 6 months, our trade deficit increased by 3.21 billion euros, compared to 2016."" ",small,Social,no
367, Antoneta Ioniță,„România(...) oferă elevilor români prin programul “Cornul și Laptele” și programul “Fructe și Legume în școli” doar 2 lei/zi pentru un elev.”, DECLARAȚII Educatie,Adevărat,0,"""Romania (...) offers Romanian students only 2 lei / day for a student through the"" Corn and Milk ""program and the"" Fruits and Vegetables in schools ""program."" ",small,Social,yes
511, Ecaterina Andronescu,"„Au fost peste 2600 de şcoli fără toaletă în clădirea şcolii, ci cu toaletă în curte, mai sunt 1460.”", DECLARAȚII Educatie,Fals,3,"""There were over 2600 schools without a toilet in the school building, but with a toilet in the yard, there are still 1460."" ",small,Social,no
584, Klaus Iohannis,"Sistemul educaţional trebuie să aibă capacitatea de a face o diferenţă reală în nivelul de cunoştinţe ale copiilor, nu doar să bifeze un număr de ani petrecuţi pe băncile şcolii. Aceasta este o lecţie care se aplică şi României, în condiţiile în care un studiu din 2016 ne avertizează că ne confruntăm cu o rată de analfabetism funcţional de 42 de procente care se reflectă foarte vizibil şi în înaltele sfere ale politicii româneşti. Continuăm să ne îndepărtăm de obiectivul Europa 2020, sau 20-20 cum se spune mai nou, în domeniul părăsirii timpurii a școlii, cu o cifră de peste 18%.", DECLARAȚII Educatie,Adevărat,0,"The education system must have the ability to make a real difference in the level of knowledge of children, not just tick a number of years spent on school benches. This is a lesson that also applies to Romania, given that a 2016 study warns us that we face a functional illiteracy rate of 42 percent that is very visibly reflected in the high spheres of Romanian politics. We continue to move away from the Europe 2020 target, or 20-20 as it is said more recently, in the field of early school leaving, with a figure of over 18%. ",big,Social,yes
596, Doina Gradea,"Eu am fost, şi săptămâna trecută, şi săptămâna asta, astăzi, numai la toate comisiile la care m-au chemat, Buget Finanţe, Comisiile de Cultură la Ministerul Finanţelor… Nu vreau să spun de buget. TVR-ul va avea cel mai mare buget pe care l-a avut vreodată [...] Puteau să nu ne dea.", DECLARAȚII Cultura,Parțial Fals,2,"I was, both last week and this week, today, only at all the commissions they called me to, Budget Finance, Culture Commissions at the Ministry of Finance… I don't mean the budget. TVR will have the biggest budget it has ever had [...] They could not give it to us. ",big,Social,yes
598, Valentin Popa,"Decizia redistribuirii locurilor finanțate de stat se poate lua prin modificarea hotărârii inițiale de repartizare a locurilor bugetate în cadrul Senatului Universității, în baza unei metodologii, proceduri sau decizii interne", DECLARAȚII Educatie,Parțial Adevărat,1,"The decision to redistribute state-funded places can be taken by amending the initial decision to allocate budgeted places within the University Senate, based on a methodology, procedures or internal decisions. ",small,Social,yes
609, Valentin Popa,"România, alături de Portugalia, a înregistrat cea mai bună creştere raportată la prima administrare, din anul 2001, rezultatele de la testarea PISA din anul 2015 arată că, prin raportare la administrările anterioare din aniii 2012, 2009 şi 2006, România se poziţionează pe un trend uşor crescător.", DECLARAȚII Educatie,Parțial Fals,2,"Romania, together with Portugal, registered the best increase compared to the first administration, in 2001, the results from the PISA testing in 2015 show that, compared to the previous administrations in 2012, 2009 and 2006, Romania is positioned on a slightly upward trend. ",big,Social,yes
615, Lucian Șova,"Preţul forţei de muncă din România, dacă vă aşteptaţi să fie mai scăzut decât în celelalte ţări europene, cred că v-aţi făcut un calcul greşit.", DECLARAȚII Munca,Fals,3,"The price of labor in Romania, if you expect it to be lower than in other European countries, I think you made a wrong calculation. ",small,Social,no
630, Mihai Tudose,"Mai departe, aţi vorbit despre haosul în educaţie. Vă reamintesc că acesta este primul an din mulţi ultimi ani când manualele şcolare au fost la timp, la începutul şcolii. Nu au mai învăţat de pe fiţuici, ca pe vremea dumneavoastră. ", DECLARAȚII Educatie,Fals,3,"Next, you talked about the chaos in education. I remind you that this is the first year in many last years when textbooks were on time, at the beginning of school. They have not learned from the files, as in your time. ",big,Social,no
634, Ionuț Mișa,"Contribuțiile rămase în sarcina angajatorului respectiv 2,75%, după transferul de 20 de puncte la salariat, scad de asemenea la 2.25% și vor acoperi riscurile de șomaj, accidente, concediu medical, creanțe salariale.", DECLARAȚII Munca,Parțial Fals,2,"The contributions left to the respective employer 2.75%, after the transfer of 20 points to the employee, also decrease to 2.25% and will cover the risks of unemployment, accidents, sick leave, salary claims. ",small,Social,yes
646, Liviu Pop,"„Rolul elevilor este unul foarte important. Voi sunteţi, şi când spun voi mă refer la învăţământul liceal, voi trebuie să fiţi promotorii acestei reforme. Vă place cum arăta şcoala, când aţi intrat acum 18 ani sau 17 ani? Atunci aţi intrat în clasa I”", DECLARAȚII Educatie,Fals,3,"""The role of students is very important. You are, and when I say I mean high school, you must be the promoters of this reform. Do you like what the school looked like when you entered 18 years or 17 years ago? That's when you entered first grade. "" ",big,Social,yes
649, Călin Popescu Tăriceanu,"Învățământul universitar românesc începe să își facă tot mai mult simțită prezența în elita mondială. De anul viitor, cinci universități din România se vor regăsi în topul celor mai bune 1.000 de universități, conform Times Higher World University Rankings.", DECLARAȚII Educatie,Adevărat,0,"Romanian university education is beginning to make its presence felt more and more in the world elite. From next year, five Romanian universities will be in the top 1,000 best universities, according to Times Higher World University Rankings. ",big,Social,no
653, Siegfried Mureșan,"De la milionul de locuri de muncă promis de Ponta în 2012, am ajuns să avem 1 milion de lucrători mai puțin în economie.  Mai țineți minte milionul de locuri de muncă promis în 2012 de Guvernul PSD condus de Victor Ponta? Iată rezultatul, la 5 ani de la promisiune: populația activă ocupată - care cuprinde, pe lângă salariați, și pe patroni, liber-profesioniști și agricultori - a scăzut cu 1 milion de persoane, de la 9,3 milioane de persoane în 2012, la 8,3 milioane de persoane în 2017, conform datelor Institutului Național de Statistică (INS), asta în timp ce numărul salariaților în economie a stagnat, la 6,3 milioane de persoane [...]. Guvernul PSD - ALDE ne promite, iată, din nou, de data aceasta prin intermediul Comisei Naționale de Prognoză, că va crea 1 milion de noi locuri de muncă în 5 ani, până în 2021. Aceeași minciună ca acum 5 ani! Cum știm că Guvernul PSD - ALDE ne minte din nou? Pentru că acționează în totală contradicție cu această promisiune luând exact acele măsuri care descurajează crearea de noi locuri de muncă și dezvoltarea mediului de afaceri: a tăiat investițiile publice și schimbă cadrul fiscal de pe-o zi pe alta, ceea ce sperie și ține departe potențialii investitori, iar actualii investitori români și străini trag semnale unul după altul și avertizează Guvernul că deciziile sale vor duce la stagnarea creșterii economice și a creării de noi locuri de muncă. Nu putem avea locuri de muncă noi fără investiții noi, dar Guvernul a redus investițiile la un minim istoric și asta ca să folosească banii pentru creșteri de salarii nesustenabile.”", DECLARAȚII Munca,Parțial Adevărat,1,"From the million jobs promised by Ponta in 2012, we have reached 1 million fewer workers in the economy. Do you remember the million jobs promised in 2012 by the PSD Government led by Victor Ponta? Here is the result, 5 years after the promise: the employed labor force - which includes, in addition to employees, employers, freelancers and farmers - fell by 1 million people, from 9.3 million people in 2012, to 8.3 million people in 2017, according to data from the National Institute of Statistics (INS), while the number of employees in the economy stagnated, to 6.3 million people [...]. The PSD - ALDE government promises us, again, this time through the National Forecast Commission, that it will create 1 million new jobs in 5 years, by 2021. The same lie as 5 years ago! How do we know that the PSD-ALDE Government is lying to us again? Because it acts in total contradiction with this promise by taking exactly those measures that discourage the creation of new jobs and the development of the business environment: it has cut public investment and changed the tax framework overnight, which scares and keeps away potential investors, and the current Romanian and foreign investors draw signals one after the other and warn the Government that its decisions will lead to the stagnation of economic growth and the creation of new jobs. We cannot have new jobs without new investments, but the Government has reduced investments to an all-time low to use the money for unsustainable wage increases. ” ",big,Social,yes
660, Liviu Pop,"„[Manualul de sport] Era licitat deja, eu când am venit, cred că erau și făcute deja ofertele în perioada aceea, în iunie. Este un drept pus în lege în 2011. (...) Nu am pus eu unul manualul de sport, eu l-am moștenit acest manual de sport.”", DECLARAȚII Sport,Parțial Adevărat,1,"""[The sports manual] was already auctioned, when I came, I think the offers were already made at that time, in June. It is a right enacted in 2011. (...) I did not put one in the sports manual, I inherited this sports manual. ” ",big,Social,yes
663, Liviu Dragnea,"(...) Eu cred că și domnul Dacian Cioloș și cei din Opoziție nu se ceartă cu PSD, ci cu fluturașul de pensie. Când salariatul vede că are un salariu mai bun, când apar peste 100.000 de locuri de muncă, sunt indicatori, statistici. Repet, nu fundamental, nu fenomenal, dar a început să crească. Toate minciunile au picioare scurte. (...)", DECLARAȚII Munca,Parțial Adevărat,1,"(...) I believe that Mr. Dacian Cioloș and those from the Opposition are not arguing with PSD, but with the pension flyer. When the employee sees that he has a better salary, when more than 100,000 jobs appear, there are indicators, statistics. I repeat, not fundamentally, not phenomenally, but it has begun to grow. All lies have short legs. (...) ",big,Social,yes
667, Mihai Tudose,"Este vorba despre luarea unei decizii. S-a constatat că randamentul de la Pilonul I, care are ca reper salariul mediu, este mult mai mare decât randamentul de la Pilonul II.", DECLARAȚII Munca,Fals,3,"It's about making a decision. It was found that the yield from Pillar I, which has as a benchmark the average salary, is much higher than the yield from Pillar II. ",small,Social,no
669, Lia Olguța Vasilescu,"Dacă [Mark Zuckerberg] era român și trebuia să îi dam 85 la sută din venituri, lunar, ca indemnizație de paternitate, înainte de apariția OUG, faliment scria pe noi!", DECLARAȚII Munca,Fals,3,"If [Mark Zuckerberg] was Romanian and we had to give him 85 percent of the income, monthly, as paternity allowance, before the appearance of the GEO, bankruptcy would write on us! ",small,Social,no
672, Liviu Dragnea,"1.550 de lei. Cu salariul minim, și vreau să repet această valoare, nu va fi impus de guvern salariul minim de 2.000 de lei. Nu există așa ceva. Probabil dintr-o greșeală s-a tot rostogolit asta în spațiul public. Noi avem în program 1.450 în 2017, 1.550 anul viitor și 1.650, 1.750. La anul, poate printr-o nouă prezentare a sistemului de impozitare, salariul brut să fie egal cu cheltuiala totală a angajatorului, ceea ce înseamnă două noțiuni diferite. Dar, salariul minim, așa cum îl știe toată lumea, va crește cu 100 de lei.", DECLARAȚII Munca,Fals,3,"1,550 lei. With the minimum wage, and I want to repeat this value, the minimum wage of 2,000 lei will not be imposed by the government. There is no such thing. Probably by mistake, it kept rolling in the public space. We have 1,450 in the program in 2017, 1,550 next year and 1,650, 1,750. Each year, perhaps through a new presentation of the tax system, the gross salary is equal to the total expenditure of the employer, which means two different notions. But, the minimum wage, as everyone knows, will increase by 100 lei. ",big,Social,yes
684, Călin Popescu Tăriceanu,"Iertaţi-mă, am lucrat şi eu în învăţământ, programul nu e de opt ore pe zi - norma didactică -, în învăţământul preuniversitar; dacă pui la cap toate vacanţele, ai patru luni de vacanţă pe an. Patru luni de vacanţă.", DECLARAȚII Educatie,Parțial Adevărat,1,"Forgive me, I also worked in education, the program is not eight hours a day - the teaching norm - in pre-university education; if you plan all the holidays, you have four months of vacation a year. Four months of vacation. ",big,Social,no
686, Sorin Grindeanu,Rata șomajului se află la un minim istoric de după 1989., DECLARAȚII Munca,Fals,3,The unemployment rate is at an all-time low since 1989. ,small,Social,no
738, Sorin Câmpeanu,"În învățământul profesional, în anul 2012 erau 11 mii de elevi, iar acum sunt 55 mii de elevi.", DECLARAȚII Educatie,Fals,3,"In vocational education, in 2012 there were 11 thousand students, and now there are 55 thousand students. ",small,Social,yes
739, TÃ¡nczos Barna,"În Legea Educaţiei, numărul de ore pe fiecare categorie de învăţământ era stipulat în lege. La un moment dat, vine un guvern şi un ministru, prin ordonanţă de urgenţă scoate această regulă, o readuce în Minister, şi constatăm după trei sau patru ani depăşirea acestei limite cu 20%. Nu se decid toate lucrurile în Parlament. Mai sunt hotărârile de guvern, ordinele de ministru, programa şcolară…", DECLARAȚII Educatie,Parțial Adevărat,1,"In the Education Law, the number of hours for each category of education was stipulated in the law. At some point, a government comes and a minister, by emergency ordinance removes this rule, brings it back to the Ministry, and we find after three or four years that this limit is exceeded by 20%. Not everything is decided in Parliament. There are also government decisions, ministerial orders, school curriculum… ",big,Social,yes
753, Gabriela Szabo,"Știți foarte bine că mai mult de 60% din populația României nu practică niciun fel de exercițiu fizic, suntem pe ultimul loc ca și număr de sportivi legitimați în cluburi din Europa.", DECLARAȚII Sport,Adevărat,0,"You know very well that more than 60% of the Romanian population does not practice any kind of physical exercise, we are on the last place as a number of legitimate athletes in clubs in Europe. ",small,Social,yes
767, Mircea Geoană,"Cortina a căzut peste Olimpiada de la Rio. Triști și neputincioși, am asistat la cea mai slabă performanță din istoria participării României la Jocurile Olimpice.", DECLARAȚII Sport,Fals,3,"Cortina fell over the Rio Olympics. Sad and helpless, we witnessed the worst performance in the history of Romania's participation in the Olympic Games. ",small,Social,no
873, Ionuț Vulpescu,"„Bugetul culturii naţionale este 0,08% [din PIB]”", DECLARAȚII Cultura,Parțial Adevărat,1,"""The national culture budget is 0.08% [of GDP]"" ",small,Social,no
896, Remus Pricopie,"„Anul acesta avem 22 miliarde, cel mai mare buget de până acum pe care l-a acordat Guvernul pentru Educație”", DECLARAȚII Educatie,Parțial Fals,2,"""This year we have 22 billion, the largest budget so far granted by the Government for Education"" ",small,Social,yes
